ID,lpep_pickup_datetime,Lpep_dropoff_datetime,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Trip_distance,trip_time,TripTimes,TripDistance,AveSpeed
12188,2016/1/1 1:42,2016/1/1 1:54,-73.99193573,40.69979477,-74.00719452,40.70485687,2.6,0 days 00:11:20,0.188888889,4.1842944,22.15214682
12189,2016/1/1 1:41,2016/1/1 1:54,-73.90458679,40.87929153,-73.90349579,40.90851593,3.2,0 days 00:12:48,0.213333333,5.1499008,24.14016
12190,2016/1/1 1:41,2016/1/1 2:01,-73.94260406,40.7861557,-73.98744965,40.72180557,6.3,0 days 00:20:03,0.334166667,10.1388672,30.34074973
12191,2016/1/1 1:41,2016/1/1 1:56,-73.95124054,40.6883049,-73.95130157,40.664711,2.1,0 days 00:15:13,0.253611111,3.3796224,13.32600289
12192,2016/1/1 1:41,2016/1/1 1:54,-74.00748444,40.65127945,-73.95845795,40.64503479,3.9,0 days 00:12:39,0.210833333,6.2764416,29.76968348
12193,2016/1/1 1:41,2016/1/1 1:56,-73.91471863,40.76378632,-73.89382172,40.74748993,2.6,0 days 00:15:18,0.255,4.1842944,16.40899765
12194,2016/1/1 1:41,2016/1/1 1:52,-73.93356323,40.69051361,-73.97307587,40.6897049,2.4,0 days 00:10:57,0.1825,3.8624256,21.16397589
12195,2016/1/1 1:42,2016/1/1 2:08,-73.8902359,40.74752808,-73.90943909,40.6929512,5.8,0 days 00:26:14,0.437222222,9.3341952,21.34885814
12196,2016/1/1 1:41,2016/1/1 2:01,-73.94623566,40.78950882,-73.93562317,40.83429337,4.1,0 days 00:20:44,0.345555556,6.5983104,19.09478894
12197,2016/1/1 1:41,2016/1/1 1:50,-73.92790222,40.69272614,-73.94326782,40.70755386,1.8,0 days 00:09:51,0.164166667,2.8968192,17.64559919
12198,2016/1/1 1:41,2016/1/1 1:51,-73.94549561,40.81797409,-73.93766785,40.80433273,1.6,0 days 00:09:54,0.165,2.5749504,15.60576
12199,2016/1/1 1:41,2016/1/1 1:47,-73.921875,40.76717377,-73.93343353,40.77001572,1,0 days 00:06:16,0.104444444,1.609344,15.40861277
12200,2016/1/1 1:41,2016/1/1 2:05,-73.95096588,40.82592773,-73.996521,40.7378273,7.7,0 days 00:24:58,0.416111111,12.3919488,29.7803843
12201,2016/1/1 1:41,2016/1/1 1:51,-73.99195099,40.6901741,-74.01761627,40.64852142,4.1,0 days 00:10:47,0.179722222,6.5983104,36.71393731
12202,2016/1/1 1:42,2016/1/1 1:51,-73.80778503,40.71534348,-73.83157349,40.70615768,2.3,0 days 00:09:42,0.161666667,3.7014912,22.89582186
12203,2016/1/1 1:42,2016/1/1 1:51,-73.91809845,40.77027893,-73.90855408,40.76508331,1.3,0 days 00:09:32,0.158888889,2.0921472,13.16736
12204,2016/1/1 1:41,2016/1/1 1:42,-73.94773865,40.75222015,-73.94913483,40.75413895,0.2,0 days 00:01:16,0.021111111,0.3218688,15.24641684
12205,2016/1/1 1:40,2016/1/1 1:56,-73.99382019,40.69541168,-73.96364594,40.69585037,3.1,0 days 00:15:32,0.258888889,4.9889664,19.27068567
12206,2016/1/1 1:40,2016/1/1 2:17,-73.92314148,40.7067337,-73.98651886,40.75154877,8.6,0 days 00:37:01,0.616944444,13.8403584,22.43371915
12207,2016/1/1 1:41,2016/1/1 2:15,-73.95656586,40.74776459,-74.01393127,40.70953369,9.4,0 days 00:34:16,0.571111111,15.1278336,26.48842459
12208,2016/1/1 1:40,2016/1/1 2:24,-73.95802307,40.67072296,-73.9174881,40.8815155,21.4,0 days 00:43:28,0.724444444,34.4399616,47.53982429
12209,2016/1/1 1:40,2016/1/1 1:51,-73.99544525,40.67947769,-73.97099304,40.67905045,1.9,0 days 00:10:33,0.175833333,3.0577536,17.39006787
12210,2016/1/1 1:40,2016/1/1 2:03,-73.91363525,40.77814865,-74.01906586,40.64762115,14.3,0 days 00:23:06,0.385,23.0136192,59.77563429
12211,2016/1/1 1:40,2016/1/1 1:55,-73.93144989,40.76541901,-73.92379761,40.81567764,5.4,0 days 00:14:59,0.249722222,8.6904576,34.80049762
12212,2016/1/1 1:40,2016/1/1 1:44,-73.88111877,40.74198914,-73.89363098,40.7467308,0.8,0 days 00:04:04,0.067777778,1.2874752,18.99553574
12213,2016/1/1 1:40,2016/1/1 1:51,-73.92301941,40.82717896,-73.95230103,40.82661057,2,0 days 00:10:57,0.1825,3.218688,17.63664658
12214,2016/1/1 1:44,2016/1/1 1:59,-73.95276642,40.69501877,-73.95839691,40.73476791,3.6,0 days 00:15:51,0.264166667,5.7936384,21.9317542
12215,2016/1/1 1:40,2016/1/1 2:03,-73.9150238,40.76407623,-73.87339783,40.76259232,3.9,0 days 00:22:39,0.3775,6.2764416,16.62633536
12216,2016/1/1 1:40,2016/1/1 1:54,-73.92138672,40.82641602,-73.9044342,40.86103439,3.8,0 days 00:14:01,0.233611111,6.1155072,26.1781521
12217,2016/1/1 1:40,2016/1/1 1:48,-73.93132782,40.85279846,-73.94338226,40.83598709,1.3,0 days 00:07:51,0.130833333,2.0921472,15.99093401
12218,2016/1/1 1:40,2016/1/1 1:48,-73.91542816,40.8435936,-73.90194702,40.85125732,1.2,0 days 00:08:02,0.133888889,1.9312128,14.42399602
12219,2016/1/1 1:41,2016/1/1 1:52,-73.9834137,40.6729126,-73.96641541,40.64042282,3,0 days 00:10:58,0.182777778,4.828032,26.41476474
12220,2016/1/1 1:40,2016/1/1 1:48,-73.97730255,40.69662857,-73.98113251,40.67530441,1.9,0 days 00:08:15,0.1375,3.0577536,22.238208
12221,2016/1/1 1:40,2016/1/1 1:43,-73.8442688,40.7209816,-73.84986877,40.7268219,0.8,0 days 00:03:33,0.059166667,1.2874752,21.76014423
12222,2016/1/1 1:40,2016/1/1 1:52,-73.88275146,40.7559166,-73.86963654,40.74864197,1.3,0 days 00:11:42,0.195,2.0921472,10.72896
12223,2016/1/1 1:40,2016/1/1 1:43,-73.88703156,40.74729156,-73.89697266,40.74636459,0.5,0 days 00:03:39,0.060833333,0.804672,13.22748493
12224,2016/1/1 1:40,2016/1/1 1:44,-73.93401337,40.84938431,-73.92432404,40.84240341,0.8,0 days 00:04:07,0.068611111,1.2874752,18.76482073
12225,2016/1/1 1:41,2016/1/1 2:00,-73.96076202,40.71498108,-73.94474792,40.68759155,3.3,0 days 00:18:53,0.314722222,5.3108352,16.87467495
12226,2016/1/1 1:40,2016/1/1 2:02,-73.92247772,40.68102646,-73.90394592,40.6281395,4.3,0 days 00:21:59,0.366388889,6.9201792,18.88752473
12227,2016/1/1 1:40,2016/1/1 2:01,-73.96205139,40.70990372,-73.99636841,40.72187042,2.4,0 days 00:21:27,0.3575,3.8624256,10.80398769
12228,2016/1/1 1:39,2016/1/1 2:03,-73.96140289,40.71375656,-73.98072052,40.73064804,2.8,0 days 00:23:27,0.390833333,4.5061632,11.52962866
12229,2016/1/1 1:39,2016/1/1 1:48,-73.8842926,40.74763489,-73.85824585,40.74951935,1.4,0 days 00:08:56,0.148888889,2.2530816,15.13263761
12230,2016/1/1 1:40,2016/1/1 1:52,-73.93950653,40.70547485,-73.94937897,40.68485641,2.3,0 days 00:11:40,0.194444444,3.7014912,19.03624046
12231,2016/1/1 1:39,2016/1/1 1:42,-73.90011597,40.70063782,-73.9076004,40.70299149,0.5,0 days 00:02:28,0.041111111,0.804672,19.5731027
12232,2016/1/1 1:39,2016/1/1 2:02,-73.95474243,40.70812225,-73.9101181,40.70431519,3,0 days 00:23:06,0.385,4.828032,12.54034286
12233,2016/1/1 1:40,2016/1/1 1:51,-73.93851471,40.74966049,-73.88648987,40.733078,4.3,0 days 00:10:37,0.176944444,6.9201792,39.109333
12234,2016/1/1 1:40,2016/1/1 1:50,-73.89224243,40.84981918,-73.90486145,40.82738495,2,0 days 00:10:32,0.175555556,3.218688,18.33429873
12235,2016/1/1 1:39,2016/1/1 1:41,-73.73570251,40.7134819,-73.73400116,40.71902466,0.4,0 days 00:01:49,0.030277778,0.6437376,21.26105835
12236,2016/1/1 1:39,2016/1/1 2:01,-73.95616913,40.74720764,-74.00728607,40.71082306,6.9,0 days 00:21:36,0.36,11.1044736,30.84576
12237,2016/1/1 1:39,2016/1/1 2:35,-73.94953918,40.82260132,-73.98247528,40.67642975,14.1,0 days 00:56:13,0.936944444,22.6917504,24.21888569
12238,2016/1/1 1:39,2016/1/1 2:03,-73.98757172,40.70394516,-73.80741119,40.69986725,13.5,0 days 00:24:23,0.406388889,21.726144,53.46146165
12239,2016/1/1 1:39,2016/1/1 2:09,-73.93238831,40.70792007,-73.99994659,40.63978577,9.7,0 days 00:29:44,0.495555556,15.6106368,31.50128502
12240,2016/1/1 1:40,2016/1/1 2:00,-73.95417023,40.66366577,-73.94970703,40.722332,10.1,0 days 00:20:01,0.333611111,16.2543744,48.7225211
12241,2016/1/1 1:39,2016/1/1 2:35,-73.95666504,40.6742897,-73.94834137,40.82188034,15.1,0 days 00:56:24,0.94,24.3010944,25.85222809
12242,2016/1/1 1:39,2016/1/1 1:54,-73.90570831,40.68952179,-73.94441986,40.71465683,3,0 days 00:14:09,0.235833333,4.828032,20.47222049
12243,2016/1/1 1:39,2016/1/1 1:46,-73.98332977,40.66478729,-73.97486877,40.68051147,1.2,0 days 00:07:31,0.125277778,1.9312128,15.41544585
12244,2016/1/1 1:38,2016/1/1 1:38,-73.93860626,40.8492775,-73.93860626,40.8492775,7.1,0 days 00:00:16,0.004444444,11.4263424,2570.92704
12245,2016/1/1 1:39,2016/1/1 1:47,-73.94152069,40.81339645,-73.93922424,40.79935837,1.4,0 days 00:08:19,0.138611111,2.2530816,16.25469691
12246,2016/1/1 1:39,2016/1/1 1:42,-73.86885834,40.74225235,-73.86495972,40.73649979,0.6,0 days 00:03:10,0.052777778,0.9656064,18.29570021
12247,2016/1/1 1:39,2016/1/1 1:55,-73.95783997,40.71775436,-73.92716217,40.69926834,2.9,0 days 00:16:36,0.276666667,4.6670976,16.86902747
12248,2016/1/1 1:39,2016/1/1 1:50,-73.93305206,40.85028458,-73.92318726,40.84228134,1.1,0 days 00:11:41,0.194722222,1.7702784,9.091301341
12249,2016/1/1 1:37,2016/1/1 1:39,-73.94477081,40.70121384,-73.94940948,40.69691849,0.5,0 days 00:02:21,0.039166667,0.804672,20.54481702
12250,2016/1/1 1:39,2016/1/1 1:45,-73.94200897,40.7219429,-73.95089722,40.72403717,0.9,0 days 00:06:52,0.114444444,1.4484096,12.65600621
12251,2016/1/1 1:38,2016/1/1 1:53,-73.91418457,40.83338928,-73.88819122,40.87388992,3.3,0 days 00:14:38,0.243888889,5.3108352,21.77563408
12252,2016/1/1 1:38,2016/1/1 1:47,-73.91934204,40.80764008,-73.88217163,40.82891846,3,0 days 00:08:57,0.149166667,4.828032,32.36669497
12253,2016/1/1 1:38,2016/1/1 1:41,-73.9258728,40.75476837,-73.91914368,40.75913239,0.6,0 days 00:02:47,0.046388889,0.9656064,20.81546731
12254,2016/1/1 1:38,2016/1/1 1:51,-73.96387482,40.71011353,-73.99453735,40.69937897,3.4,0 days 00:12:49,0.213611111,5.4717696,25.6155664
12255,2016/1/1 1:38,2016/1/1 1:47,-73.93744659,40.84427261,-73.94940948,40.82599258,1.5,0 days 00:09:00,0.15,2.414016,16.09344
12256,2016/1/1 1:38,2016/1/1 1:46,-73.99147797,40.6631813,-73.9721756,40.67472076,1.6,0 days 00:08:03,0.134166667,2.5749504,19.19217689
12257,2016/1/1 1:38,2016/1/1 2:02,-73.96304321,40.68478775,-73.90942383,40.77516174,9.6,0 days 00:23:37,0.393611111,15.4497024,39.25118464
12258,2016/1/1 1:38,2016/1/1 1:55,-73.92865753,40.6808548,-73.9654007,40.69361877,2.8,0 days 00:16:18,0.271666667,4.5061632,16.5871038
12259,2016/1/1 1:36,2016/1/1 1:37,-73.93861389,40.84927368,-73.93860626,40.8492775,7.1,0 days 00:00:55,0.015277778,11.4263424,747.906048
12260,2016/1/1 1:38,2016/1/1 1:53,-73.91881561,40.84396362,-73.89673615,40.8263092,2.5,0 days 00:14:48,0.246666667,4.02336,16.31091892
12261,2016/1/1 1:38,2016/1/1 2:04,-73.90266418,40.77569199,-74.03443909,40.61540222,17.2,0 days 00:26:38,0.443888889,27.6807168,62.35956225
12262,2016/1/1 1:38,2016/1/1 1:42,-73.90556335,40.8731842,-73.91680145,40.86758041,0.9,0 days 00:04:32,0.075555556,1.4484096,19.17012706
12263,2016/1/1 1:39,2016/1/1 1:56,-73.98170471,40.69003296,-73.9848175,40.71949387,3.3,0 days 00:17:12,0.286666667,5.3108352,18.5261693
12264,2016/1/1 1:38,2016/1/1 1:57,-73.9196701,40.86713409,-73.90782928,40.83564377,3.5,0 days 00:19:57,0.3325,5.632704,16.94046316
12265,2016/1/1 1:38,2016/1/1 1:56,-73.95504761,40.66834641,-73.91273499,40.73007584,6.4,0 days 00:17:49,0.296944444,10.2998016,34.68595487
12266,2016/1/1 1:37,2016/1/1 1:50,-73.91142273,40.76820374,-73.94908142,40.79732895,5.1,0 days 00:12:24,0.206666667,8.2076544,39.71445677
12267,2016/1/1 1:37,2016/1/1 2:06,-73.93357086,40.71076965,-73.98188782,40.72827148,3.8,0 days 00:28:48,0.48,6.1155072,12.74064
12268,2016/1/1 1:38,2016/1/1 1:49,-73.96636963,40.6904335,-73.95926666,40.71640015,2.8,0 days 00:10:45,0.179166667,4.5061632,25.15067833
12269,2016/1/1 1:39,2016/1/1 2:02,-73.95748901,40.72973633,-73.97889709,40.63340759,10.4,0 days 00:23:12,0.386666667,16.7371776,43.28580414
12270,2016/1/1 1:37,2016/1/1 1:41,-73.91805267,40.77006149,-73.91171265,40.778965,0.9,0 days 00:04:16,0.071111111,1.4484096,20.36826
12271,2016/1/1 1:37,2016/1/1 1:43,-73.93650818,40.82036972,-73.94480133,40.80873108,0.9,0 days 00:05:35,0.093055556,1.4484096,15.56499869
12272,2016/1/1 1:37,2016/1/1 1:43,-73.86808014,40.74569702,-73.86522675,40.75263977,0.8,0 days 00:06:10,0.102777778,1.2874752,12.52678573
12273,2016/1/1 1:37,2016/1/1 1:46,-73.95241547,40.78663254,-73.93895721,40.80489349,1.5,0 days 00:08:52,0.147777778,2.414016,16.33544662
12274,2016/1/1 1:37,2016/1/1 1:59,-73.88583374,40.75559235,-73.86219788,40.71728134,3.8,0 days 00:21:53,0.364722222,6.1155072,16.76757496
12275,2016/1/1 1:37,2016/1/1 2:19,-73.95154572,40.71325302,-73.95845032,40.72989655,7.9,0 days 00:42:07,0.701944444,12.7138176,18.11228467
